VMName;RAM;RAM_percentage;RAM_LastAvgUse_Gb_SD;CPUCount;CPU_percentage;CPU_LastAvgUse_MHz_SD;NETWORK_LastInboundAvgUse_Kbps_P95;NETWORK_LastInboundAvgUse_Kbps_SD;NETWORK_LastOutboundAvgUse_Kbps_P95;NETWORK_LastOutboundAvgUse_Kbps_SD
110127_WINDOWS_SERVER_2008 (0a1801ac-66c7-469e-8c61-22153cbb82b0);4;100;0;2;110;214;4;2;29;10
111150_WINDOWS_SERVER_2012_R2_STAND (6c576470-2c67-4d55-b8e3-c0b397430fed);24;100;1;8;19;936;161;204;101;18
111175_WINDOWS_SERVER_2012_R2_STAND (e9309977-6bec-417a-8278-6e7015d452a9);2;100;0;2;5;99;2;12;2;11
111177_WINDOWS_SERVER_2012_081018_Restored;36;67;6;8;24;1574;6463;2242;246;116
111216_WINDOWS_SERVER_2012_STANDARD (c0d3917c-7b3c-4365-ac66-40a25997844f);8;76;1;4;7;820;134;98;40;39
111218_WIN_SER2012ST;8;100;0;4;8;219;19;24;56;59
111737_FANDRAL_WS2012R2 (1a019b10-5ea8-420e-b98a-35721835a44a);64;100;0;12;66;4688;1500;421;293;366
113431_PROFESIONALES_REDHAT_6.5_Bits (387d658a-2c8c-4aad-af76-5d2424330411);20;99;0;2;77;1257;48;81;41;109
113445_DEBIAN_6.0.8_64Bits;4;98;0;4;68;2134;18;6;14;519
113447_DEBIAN_6.0.8_64Bits;2;98;0;2;0;28;1;521;0;8
114088_WINDOWS_2008_R2_STANDARD_x64 (725c13af-9126-4012-9e63-5e5015b11ea4);12;100;0;4;43;1078;13;19;86;747
115296_EXPRESS_VPN_LLC_UBUNTU_14 (37c14844-d2b9-4648-a0f4-53885cc788f2);4;98;0;2;40;210;2371;633;2431;646
115876_WINDOWS_SERVER_2012_R2_STAND_R (fa7106a7-05c4-4748-94c9-3facdc0938c5);14;100;0;4;34;1214;187;71;42;20
115877_WINDOWS_2012R2_080519;8;100;0;4;1;0;0;0;0;0
115877_WINDOWS_SERVER_2012_R2_STAND_restore;8;92;0;4;84;18;38;1;25;1
1159033_PROFESIONALES_REDHAT_7.0_Bits (4448642f-1391-4306-b681-a0f723a40948);8;79;3;2;2;334;1;14;2;4
117125_PARKING_PRD_SIP;52;95;2;12;28;1288;83;30;11060;2748
120216_vShield_Manager_Peru;16;94;2;4;7;151;2;24;2;4
120220_CLSCLBSQDBVEEAM;10;100;0;4;55;1321;29;13;469;320
170522_DINAMICO_1_120818_NEW;8;97;1;6;73;3909;118;38;52;25
170523_DINAMICO2_1903;4;100;0;2;107;1006;43;11;11;29
170526_DINAMICO5_NAGIOS_new (91c61d6a-0350-49db-bc5d-7e50fad95fb0);4;72;0;2;7;13;2;0;2;0
170732_WINDOWS_SERVER_2012_R2_STANDARD_64_2711;16;100;2;4;113;812;1840;737;348;146
172387_SUSE_LINUX_ENTERPRISE_SERVER_12_SP (9abde949-f1fb-4200-bb47-582ee369aed2);48;100;1;4;76;2438;2959;1406;1178;427
172641_BLD-VRTL-TS408_WIN_2008_R2_STD_x64 (4096fe09-8055-4e7e-8f58-fbc87f0d0c5d);12;100;0;6;32;1499;566;229;151;62
172641_BLD-VRTL-TS408_WIN_2008_R2_STD_x64 (4096fe09-8055-4e7e-8f58-fbc87f0d0c5d);16;100;0;6;62;2869;670;288;169;61
172641_CentosHDI (cddf412a-49ab-4777-bc39-8ce9eba7fa1e);2;94;1;4;9;323;71;26;69;28
172641_SRV-DYNAMICS_WIN_2008_R2_STD_x64 (357ca469-13e6-48f0-bbeb-52a3144c368a);4;100;0;4;3;171;12;5;2;2
172641_SVR-PRB-INT2012_WIN_2012_STD_x64_0;4;100;0;4;63;2310;816;417;298;207
172641_SVR-PRD-BIZUIT_WIN_2008_R2;8;100;0;6;15;826;314;358;125;137
